Code	Site	Block	Plot	Point	Treatment	Depth	Date	SWC
69	Gamir	2	3	6	Drought	10	12/12/2015	NA
70	Gamir	2	3	6	Drought	20	12/12/2015	NA
71	Gamir	2	3	6	Drought	30	12/12/2015	NA
72	Gamir	2	3	6	Drought	40	12/12/2015	NA
73	Gamir	3	4	1	Drought	10	12/12/2015	15.3
74	Gamir	3	4	1	Drought	20	12/12/2015	19.7
75	Gamir	3	4	1	Drought	30	12/12/2015	16.6
76	Gamir	3	4	1	Drought	40	12/12/2015	18.4
77	Gamir	3	4	2	Drought	10	12/12/2015	10.5
78	Gamir	3	4	2	Drought	20	12/12/2015	15.1
79	Gamir	3	4	2	Drought	30	12/12/2015	18.6
80	Gamir	3	4	2	Drought	40	12/12/2015	20.3
81	Gamir	3	4	3	Drought	10	12/12/2015	8.6
82	Gamir	3	4	3	Drought	20	12/12/2015	11.7
83	Gamir	3	4	3	Drought	30	12/12/2015	16.7
84	Gamir	3	4	3	Drought	40	12/12/2015	17.0
85	Gamir	3	4	4	Drought	10	12/12/2015	17.6
86	Gamir	3	4	4	Drought	20	12/12/2015	15.1
87	Gamir	3	4	4	Drought	30	12/12/2015	14.4
88	Gamir	3	4	4	Drought	40	12/12/2015	14.3
89	Gamir	3	4	5	Drought	10	12/12/2015	NA
90	Gamir	3	4	5	Drought	20	12/12/2015	NA
91	Gamir	3	4	5	Drought	30	12/12/2015	NA
92	Gamir	3	4	5	Drought	40	12/12/2015	NA
93	Gamir	3	4	6	Drought	10	12/12/2015	NA
94	Gamir	3	4	6	Drought	20	12/12/2015	NA
95	Gamir	3	4	6	Drought	30	12/12/2015	NA
96	Gamir	3	4	6	Drought	40	12/12/2015	NA
97	Gamir	3	5	1	Control	10	12/12/2015	10.3
98	Gamir	3	5	1	Control	20	12/12/2015	15.8
99	Gamir	3	5	1	Control	30	12/12/2015	18.3
100	Gamir	3	5	1	Control	40	12/12/2015	20.1
101	Gamir	3	5	2	Control	10	12/12/2015	7.7
102	Gamir	3	5	2	Control	20	12/12/2015	10.7
103	Gamir	3	5	2	Control	30	12/12/2015	10.8
104	Gamir	3	5	2	Control	40	12/12/2015	8.9
105	Gamir	3	5	3	Control	10	12/12/2015	6.6
106	Gamir	3	5	3	Control	20	12/12/2015	10.9
107	Gamir	3	5	3	Control	30	12/12/2015	12.8
108	Gamir	3	5	3	Control	40	12/12/2015	15.1
109	Gamir	3	5	4	Control	10	12/12/2015	18.8
110	Gamir	3	5	4	Control	20	12/12/2015	16.4
111	Gamir	3	5	4	Control	30	12/12/2015	23.6
112	Gamir	3	5	4	Control	40	12/12/2015	18.3
113	Gamir	3	5	5	Control	10	12/12/2015	NA
114	Gamir	3	5	5	Control	20	12/12/2015	NA
115	Gamir	3	5	5	Control	30	12/12/2015	NA
116	Gamir	3	5	5	Control	40	12/12/2015	NA
117	Gamir	3	5	6	Control	10	12/12/2015	NA
118	Gamir	3	5	6	Control	20	12/12/2015	NA
119	Gamir	3	5	6	Control	30	12/12/2015	NA
120	Gamir	3	5	6	Control	40	12/12/2015	NA
121	Gamir	1	6	1	Drought	10	12/12/2015	14.1
122	Gamir	1	6	1	Drought	20	12/12/2015	19.1
123	Gamir	1	6	1	Drought	30	12/12/2015	18.0
124	Gamir	1	6	1	Drought	40	12/12/2015	16.1
125	Gamir	1	6	2	Drought	10	12/12/2015	17.8
126	Gamir	1	6	2	Drought	20	12/12/2015	19.4
127	Gamir	1	6	2	Drought	30	12/12/2015	13.7
128	Gamir	1	6	2	Drought	40	12/12/2015	17.4
129	Gamir	1	6	3	Drought	10	12/12/2015	11.5
130	Gamir	1	6	3	Drought	20	12/12/2015	11.7
131	Gamir	1	6	3	Drought	30	12/12/2015	19.0
132	Gamir	1	6	3	Drought	40	12/12/2015	12.2
133	Gamir	1	6	4	Drought	10	12/12/2015	16.6
134	Gamir	1	6	4	Drought	20	12/12/2015	17.0
135	Gamir	1	6	4	Drought	30	12/12/2015	12.9
136	Gamir	1	6	4	Drought	40	12/12/2015	12.5
137	Gamir	1	6	5	Drought	10	12/12/2015	NA
138	Gamir	1	6	5	Drought	20	12/12/2015	NA
139	Gamir	1	6	5	Drought	30	12/12/2015	NA
140	Gamir	1	6	5	Drought	40	12/12/2015	NA
141	Gamir	1	6	6	Drought	10	12/12/2015	NA
142	Gamir	1	6	6	Drought	20	12/12/2015	NA
143	Gamir	1	6	6	Drought	30	12/12/2015	NA
144	Gamir	1	6	6	Drought	40	12/12/2015	NA
1	Gamir	1	1	1	Control	10	12/01/2016	31.4
2	Gamir	1	1	1	Control	20	12/01/2016	33.5
3	Gamir	1	1	1	Control	30	12/01/2016	31.4
4	Gamir	1	1	1	Control	40	12/01/2016	30.9
